date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:49:17	12388/12388	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102efe-3064%22	https://getbootstrapadmin.com/remark/global/vendor/ashoverscroll/jquery-asHoverScroll.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/ashoverscroll/jquery-asHoverScroll.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:18	14718/14718	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102efe-397e%22	https://getbootstrapadmin.com/remark/global/vendor/asscrollable/jquery-asScrollable.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/asscrollable/jquery-asScrollable.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:18	24502/24502	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102eff-5fb6%22	https://getbootstrapadmin.com/remark/global/vendor/switchery/switchery.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/switchery/switchery.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:18	27411/27411	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102eff-6b13%22	https://getbootstrapadmin.com/remark/global/vendor/intro-js/intro.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/intro-js/intro.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:18	3528/3528	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102eff-dc8%22	https://getbootstrapadmin.com/remark/global/vendor/screenfull/screenfull.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/screenfull/screenfull599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:18	17380/17380	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102eff-43e4%22	https://getbootstrapadmin.com/remark/global/vendor/slidepanel/jquery-slidePanel.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/slidepanel/jquery-slidePanel.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:20	4678/4678	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102efe-1246%22	https://getbootstrapadmin.com/remark/global/vendor/datatables.net-bs4/dataTables.bootstrap4.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/datatables.net-bs4/dataTables.bootstrap4599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:21	6730/6730	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102efe-1a4a%22	https://getbootstrapadmin.com/remark/global/vendor/datatables.net-fixedheader/dataTables.fixedHeader.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/datatables.net-fixedheader/dataTables.fixedHeader.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:21	445792/445792	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102efe-6cd60%22	https://getbootstrapadmin.com/remark/global/vendor/datatables.net/jquery.dataTables.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/datatables.net/jquery.dataTables599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:22	16573/16573	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102efe-40bd%22	https://getbootstrapadmin.com/remark/global/vendor/datatables.net-fixedcolumns/dataTables.fixedColumns.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/datatables.net-fixedcolumns/dataTables.fixedColumns.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:22	3294/3294	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102efe-cde%22	https://getbootstrapadmin.com/remark/global/vendor/datatables.net-rowgroup/dataTables.rowGroup.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/datatables.net-rowgroup/dataTables.rowGroup.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:23	12072/12072	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102efe-2f28%22	https://getbootstrapadmin.com/remark/global/vendor/datatables.net-scroller/dataTables.scroller.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/datatables.net-scroller/dataTables.scroller.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:23	12400/12400	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102efe-3070%22	https://getbootstrapadmin.com/remark/global/vendor/datatables.net-responsive/dataTables.responsive.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/datatables.net-responsive/dataTables.responsive.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:24	1244/1244	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102efe-4dc%22	https://getbootstrapadmin.com/remark/global/vendor/datatables.net-responsive-bs4/responsive.bootstrap4.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/datatables.net-responsive-bs4/responsive.bootstrap4.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
